,0
0,Nigeria
1,Ethiopia
2,Egypt
3,Democratic Republic of Congo
4,Tanzania
5,South Africa
6,Kenya
7,Uganda
8,Sudan
9,Algeria
10,Morocco
11,Angola
12,Ghana
13,Mozambique
14,Madagascar
15,Cote D'Ivoire
16,Cameroon
17,Niger
18,Mali
19,Burkina Faso
20,Malawi
21,Zambia
22,Chad
23,Somalia
24,Senegal
25,Zimbabwe
26,Guinea
27,Rwanda
28,Benin
29,Burundi
30,Tunisia
31,Togo
32,Sierra Leone
33,Libya
34,Congo
35,Central African Republic
36,Liberia
37,Mauritania
38,Eritrea
39,Gambia
40,Botswana
41,Namibia
42,Gabon
43,Lesotho
44,Guinea-Bissau
45,Equatorial Guinea
46,Mauritius
47,Eswatini
48,Djibouti
49,Comoros
50,Cape Verde
51,Soa Tome & Principe
52,Seychelles
